"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/1M pop,Population,Continent,1 Caseevery X ppl,1 Deathevery X ppl,1 Testevery X ppl,New Cases/1M pop,New Deaths/1M pop,Active Cases/1M pop
Thailand,"204,595","+2,331","1,525 ",+40,"167,665","+4,947","35,405","1,169","2,924",22,"8,129,670","116,192","69,967,258 ",Asia,342,"45,880",9,33,0.6,506
Libya,"189,888",+330,"3,166 ",,"175,471",+242,"11,251",,"27,282",455,"1,077,979","154,876","6,960,273 ",Africa,37,"2,198",6,47,,"1,616"
Kenya,"176,137",,"3,428 ",,"120,894",,"51,815",113,"3,209",62,"1,876,105","34,175","54,896,420 ",Africa,312,"16,014",29,,,944
Nigeria,"167,095",,"2,117 ",,"163,483",,"1,495",11,792,10,"2,231,409","10,576","210,988,844 ",Africa,"1,263","99,664",95,,,7
Cuba,"160,594",,"1,106 ",,"152,014",,"7,474",161,"14,187",98,"4,657,880","411,473","11,320,008 ",North America,70,"10,235",2,,,660
North Macedonia,"155,568",,"5,472 ",,"149,676",,420,25,"74,674","2,627","838,323","402,403","2,083,292 ",Europe,13,381,2,,,202
S. Korea,"149,191",+544,"1,993 ",+1,"140,438",+705,"6,760",159,"2,908",39,"10,229,384","199,359","51,311,342 ",Asia,344,"25,746",5,11,0.02,132
Myanmar,"146,051",,"3,248 ",,"133,104",,"9,699",,"2,667",59,"2,654,252","48,473","54,757,812 ",Asia,375,"16,859",21,,,177
Latvia,"136,403",+156,"2,475 ",+11,"131,480",+657,"2,448",48,"73,090","1,326","2,809,291","1,505,335","1,866,223 ",Europe,14,754,1,84,6,"1,312"
Algeria,"134,115",,"3,588 ",,"93,355",,"37,172",31,"3,007",80,"230,861","5,176","44,604,135 ",Africa,333,"12,431",193,,,833
Albania,"132,469",,"2,454 ",,"129,879",,136,18,"46,079",854,"763,660","265,640","2,874,793 ",Europe,22,"1,171",4,,,47
Estonia,"130,658",+59,"1,266 ",,"126,188",+259,"3,204",3,"98,432",954,"1,483,720","1,117,775","1,327,387 ",Europe,10,"1,048",1,44,,"2,414"
Norway,"128,499",,789 ,,"88,952",,"38,758",10,"23,527",144,"5,901,783","1,080,581","5,461,674 ",Europe,43,"6,922",1,,,"7,096"
Zambia,"115,824",,"1,444 ",,"99,895",,"14,485",721,"6,137",77,"1,709,858","90,602","18,872,133 ",Africa,163,"13,069",11,,,768
Kyrgyzstan,"111,990",+647,"1,912 ",+7,"103,565",+308,"6,513",102,"16,900",289,"1,207,743","182,256","6,626,615 ",Asia,59,"3,466",5,98,1,983
Uzbekistan,"104,463",+350,711 ,+2,"100,328",+342,"3,424",23,"3,079",21,"1,377,915","40,609","33,931,013 ",Asia,325,"47,723",25,10,0.06,101
Montenegro,"99,988",,"1,602 ",,"97,980",,406,60,"159,181","2,550","432,662","688,796","628,142 ",Europe,6,392,1,,,646
